IATA,ICAO,Name,
"BEI","HABE","Beica Airport",
"BEJ","WALK","Kalimarau Airport",
"BEK","VIBY","Bareilly Airport",
"BEL","SBBE","Val de Cans International Airport",
"BEM","GMMD","Beni Mellal Airport",
"BEN","HLLB","Benina International Airport",
"BEO","YLMQ","Lake Macquarie Airport",
"BEP","VOBI","Bellary Airport",
"BEQ","EGXH","RAF Honington",
"BER","EDDB","Berlin Brandenburg Airport",
"BES","LFRB","Brest Bretagne Airport",
"BET","PABE","Bethel Airport",
"BEU","YBIE","Bedourie Airport",
"BEV","LLBS","Be'er Sheva  Airport|Beersheba Airport",
"BEW","FQBR","Beira Airport",
"BEX","EGUB","RAF Benson",
"BEY","OLBA","Beirut??""Rafic Hariri International Airport"" / ""Beirut Air Base",
"BEZ","NGBR","Beru Island Airport",
"BFA","Bah??a Negra","Paraguay",
"BFD","KBFD","Bradford Regional Airport",
"BFE","EDLI","Bielefeld Airport",
"BFF","KBFF","Western Nebraska Regional Airport",
"BFH","SBBI","Bacacheri Airport",
"BFI","KBFI","Boeing Field|Boeing Field/King County International Airport",
"BFJ","ZUBJ","Bijie Feixiong Airport",
"BFK","KBKF","Buckley Air Force Base",
"BFL","KBFL","Meadows Field Airport",
"BFM","KBFM","Mobile Downtown Airport",
"BFN","FABL","Bloemfontein Airport",
"BFO","FVCZ","Buffalo Range Airport",
"BFP","KBVI","Beaver County Airport",
"BFR","KBFR","Virgil I. Grissom Municipal Airport",
"BFS","EGAA","Belfast International Airport",
"BFT","KARW","Beaufort County Airport",
"BFU","ZSBB","Bengbu Airport",
"BFV","VTUO","Buriram Airport",
"BFW","DAOS","Sidi Bel Abb??s Airport",
"BFX","FKKU","Bafoussam Airport",
"BGA","SKBG","Palonegro International Airport",
"BGB","FOGB","Boou?? Airport",
"BGC","LPBG","Bragan??a Airport",
"BGD","KBGD","Hutchinson County Airport",
"BGE","KBGE","Decatur County Industrial Air Park",
"BGF","FEFF","Bangui M'Poko International Airport",
"BGG","LTCU","Bing??l Airport",
"BGH","GQNE","Abbaye Airport",
"BGI","TBPB","Grantley Adams International Airport",
"BGJ","BIBF","Borgarfj??r??ur Eystri Airport",
"BGL","VNBL","Balewa Airport",
"BGM","KBGM","Greater Binghamton Airport",
"BGN","UESG","Belaya Gora Airport",
"BGO","ENBR","Bergen Airport, Flesland",
"BGQ","PAGQ","Big Lake Airport",
"BGR","KBGR","Bangor International Airport",
"BGU","FEFG","Bangassou Airport",
"BGW","ORBI","Baghdad International Airport",
"BGX","SBBG","Comandante Gustavo Kraemer Airport",
"BGY","LIME","Il Caravaggio International Airport",
"BGZ","LPBR","Braga Airport",
"BHA","SESV","Los Perales Airport",
"BHB","KBHB","Hancock County-Bar Harbor Airport",
"BHD","EGAC","George Best Belfast City Airport",
"BHE","NZWB","Woodbourne Airport",
"BHF","SKCP","Bah??a Cupica Airport",
"BHH","OEBH","Bisha Domestic Airport",
"BHI","SAZB","Comandante Espora Airport",
"BHJ","VABJ","Bhuj Airport"" / ""Bhuj Rudra Mata Air Force Base",
"BHK","UTSB","Bukhara International Airport",
"BHM","KBHM","Birmingham??""Shuttlesworth International Airport",
"BHN","OYBN","Beihan Airport",
"BHO","VABP","Raja Bhoj Airport",
"BHP","VNBJ","Bhojpur Airport",
"BHQ","YBHI","Broken Hill Airport",
"BHR","VNBP","Bharatpur Airport",
"BHS","YBTH","Bathurst Airport |Bathurst Airport",
"BHU","VABV","Bhavnagar Airport",
"BHV","OPBW","Bahawalpur Airport",
"BHX","EGBB","Birmingham Airport",
"BHY","ZGBH","Beihai Fucheng Airport",
"BHZ",,"metropolitan area{{ref|3|3}}",
"BIA","LFKB","Bastia ??"" Poretta Airport",
"BIB","HCMB","Baidoa Airport",
"BID","KBID","Block Island State Airport",
"BIE","KBIE","Beatrice Municipal Airport",
"BIF","KBIF","Biggs Army Airfield",
"BIG","PABI","Allen Army Airfield",
"BIH","KBIH","Eastern Sierra Regional Airport",
"BIK","WABB","Frans Kaisiepo Airport",
"BIL","KBIL","Billings Logan International Airport",
"BIM","MYBS","South Bimini Airport",
"BIN","OABN","Bamyan Airport",
"BIO","LEBB","Bilbao Airport",
"BIQ","LFBZ","Biarritz ??"" Anglet ??"" Bayonne Airport|Biarritz Pays Basque Airport",
"BIR","VNVT","Biratnagar Airport",
"BIS","KBIS","Bismarck Municipal Airport",
"BIT","VNBT","Baitadi Airport",
"BIU","BIBD","B??ldudalur Airport",
