IATA,ICAO,Name,
"MYP","UTAM","Mary International Airport",
"MYQ","VOMY","Mysore Airport",
"MYR","KMYR","Myrtle Beach International Airport",
"MYT","VYMK","Myitkyina Airport",
"MYU","PAMY","Mekoryuk Airport",
"MYV","KMYV","Yuba County Airport",
"MYW","HTMT","Mtwara Airport",
"MYY","WBGR","Miri Airport",
"MYZ","FWMY","Monkey Bay Airport",
"MZA","SPMF","Manuel Prado Ugarteche Airport",
"MZB","FQMP","Moc??mboa da Praia Airport",
"MZC","FOOM","Mitzic Airport",
"MZF","FAMW","Wild Coast Sun Airport",
"MZG","RCQC","Magong Airport",
"MZH","LTAP","Amasya Merzifon Airport",
"MZI","GAMB","Mopti Airport",
"MZJ","KMZJ","Pinal Airpark",
"MZK","NGMK","Marakei Airport",
"MZL","SKMZ","La Nubia Airport",
"MZM","LFSF","Metz-Frescaty Air Base",
"MZO","MUMZ","Sierra Maestra Airport",
"MZP","NZMK","Motueka Aerodrome",
"MZQ","FAMU","Mkuze Airport",
"MZR","OAMS","Mazar-e Sharif International Airport",
"MZT","MMMZ","General Rafael Buelna International Airport",
"MZU","VEMZ","Muzaffarpur Airport",
"MZV","WBMU","Mulu Airport",
"MZW","DAAY","M??cheria Airport",
"MZX","HAML","Mena Airport |Mena Airport",
"MZY","FAMO","Mossel Bay Airport",
"MZZ","KMZZ","Marion Municipal Airport |Marion Municipal Airport",
"NAA","YNBR","Narrabri Airport",
"NAC","YNRC","Naracoorte Airport",
"NAE","DBBN","Bound??tingou Airport",
"NAG","VANP","Dr. Babasaheb Ambedkar International Airport",
"NAH","WAMH","Naha Airport |Naha Airport",
"NAI","SYAN","Annai Airport",
"NAJ","UBBN","Nakhchivan International Airport",
"NAK","VTUQ","Nakhon Ratchasima Airport",
"NAL","URMN","Nalchik Airport",
"NAM","WAPR","Namlea Airport",
"NAN","NFFN","Nadi International Airport",
"NAO","ZUNC","Nanchong Gaoping Airport",
"NAP","LIRN","Naples International Airport",
"NAQ","BGQQ","Qaanaaq Airport",
"NAR","SKPN","Puerto Nare Airport",
"NAS","MYNN","Lynden Pindling International Airport",
"NAT","SBNT","Greater Natal International Airport|S??o Gon??alo do Amarante??""Governador Alu??zio Alves International Airport",
"NAU","NTGN","Napuka Airport",
"NAV","LTAZ","Nev??ehir Kapadokya Airport",
"NAW","VTSC","Narathiwat Airport",
"NAY","ZBNY","Beijing Nanyuan Airport",
"NAZ","AGNA","Nana Airport",
"NBB","SKBM","Barranco Minas Airport",
"NBC","UWKE","Begishevo Airport",
"NBE","DTNH","Enfidha-Hammamet International Airport",
"NBG","KNBG","Naval Air Station Joint Reserve Base New Orleans|NAS JRB New Orleans",
"NBH","YNHS","Nambucca Heads Airport",
"NBL","MPWN","Wannukandi Airport",
"NBN","FGAB","Annob??n Airport",
"NBO","HKJK","Jomo Kenyatta International Airport",
"NBS","ZYBS","Changbaishan Airport",
"NBW","KNBW","Guantanamo Bay Naval Base",
"NBX","WABI","Nabire Airport",
"NCA","MBNC","North Caicos Airport",
"NCE","LFMN","Nice C??te d'Azur Airport",
"NCG","MMCG","Nuevo Casas Grandes Municipal Airport",
"NCH","HTNA","Nachingwea Airport",
"NCI","SKNC","Antioquia Airport",
"NCJ","SAFS","Sunchales Airport",
"NCL","EGNT","Newcastle Airport",
"NCN","PFCB","Chenega Bay Airport",
"NCO","KOQU","Quonset State Airport",
"NCR","MNSC","San Carlos Airport |San Carlos Airport",
"NCS","FANC","Newcastle Airport |Newcastle Airport",
"NCT","MRNC","Nicoya Guanacaste Airport",
"NCU","UTNN","Nukus Airport",
"NCY","LFLP","Annecy ??"" Haute-Savoie ??"" Mont Blanc Airport",
"NDA","WAPC","Bandanaira Airport",
"NDB","GQPP","Nouadhibou International Airport",
"NDC","VAND","Shri Guru Gobind Singh Ji Airport",
"NDD","FNSU","Sumbe Airport",
"NDE","HKMA","Mandera Airport",
"NDG","ZYQQ","Qiqihar Sanjiazi Airport",
"NDJ","FTTJ","N'Djamena International Airport",
"NDL","FEFN","N'D??l?? Airport",
"NDM","HAMN","Mendi Airport |Mendi Airport",
"NDR","GMMW","Nador International Airport",
"NDS","YSAN","Sandstone Airport",
"NDU","FYRU","Rundu Airport",
"NDY","EGES","Sanday Airport",
"NEA","KNEA","Naval Air Station Glynco",
"NEC","SAZO","Necochea Airport",
"NEF","UWUF","Neftekamsk Airport",
"NEG","MKNG","Negril Aerodrome",
"NEJ","HANJ","Nejjo Airport",
"NEK","HANK","Nekemte Airport",
"NEL","KNEL","Naval Air Engineering Station Lakehurst|NAES Lakehurst",
"NEN","KNEN","Naval Outlying Field Whitehouse|NOLF Whitehouse",
"NER","UELL","Chulman Airport|Chulman Neryungri Airport",
"NEU","VLSN","Sam Neua Airport",
"NEV","TKPN","Vance W. Amory International Airport",
"NEW","KNEW","Lakefront Airport",
"NFG","USRN","Nefteyugansk Airport",
"NFL","KNFL","Naval Air Station Fallon|NAS Fallon",
"NFO","NFTO","Niuafo??ou Airport|Niuafo'ou Airport",
"NFR","HLNR","Nafoora Airport",
"NGA","YYNG","Young Airport",
"NGB","ZSNB","Ningbo Lishe International Airport",
"NGD","TUPA","Auguste George Airport",
"NGE","FKKN","Ngaound??r?? Airport",
"NGF","PHNG","Marine Corps Air Station Kaneohe Bay|MCAS Kaneohe Bay",
"NGI","NFNG","Gau Airport",
"NGK","UHSN","Nogliki Airport",
"NGL","FANG","Ngala Airfield",
"NGO","RJGG","Ch??bu Centrair International Airport",
"NGP","KNGP","Naval Air Station Corpus Christi|NAS Corpus Christi",
"NGQ","ZUAL","Ngari Gunsa Airport",
"NGS","RJFU","Nagasaki Airport",
"NGU","KNGU","Naval Station Norfolk|NS Norfolk",
"NGW","KNGW","Naval Outlying Field Cabaniss Field|NOLF Cabaniss Field",
"NGX","VNMA","Manang Airport",
"NHA","VVNT","Nha Trang Air Base",
"NHD","OMDM","Al Minhad Air Base",
"NHF","HSNW","New Halfa Airport",
"NHK","KNHK","Naval Air Station Patuxent River|NAS Patuxent River",
"NHT","EGWU","RAF Northolt",
"NHV","NTMD","Nuku Hiva Airport",
"NHX","KNBJ","Naval Outlying Field Barin|NOLF Barin",
"NHZ","KBXM","Brunswick Executive Airport",
"NIA","GLNA","Nimba Airport",
"NIB","PAFS","Nikolai Airport",
"NIC","LCNC","Nicosia International Airport""{{ref|1|1}}, ""Nicosia",
"NIF","YCNF","Nifty Airport",
"NIG","NGNU","Nikunau Airport",
"NIM","DRRN","Diori Hamani International Airport",
"NIO","FZBI","Nioki Airport",
"NIP","KNIP","Naval Air Station Jacksonville|NAS Jacksonville",
"NIT","LFBN","Niort - Souch?? Airport",
"NIU","NTKN","Niau Airport",
"NIX","GANR","Nioro Airport",
"NJA","RJTA","Naval Air Facility Atsugi",
"NJC","USNN","Nizhnevartovsk Airport",
"NJF","ORNI","Al Najaf International Airport",
"NJK","KNJK","Naval Air Facility El Centro|NAF El Centro",
"NKC","GQNO","Nouakchott??""Oumtounsy International Airport",
"NKG","ZSNJ","Nanjing Lukou International Airport",
"NKL","FZAR","Nkolo-Fuma Airport",
"NKM","RJNA","Nagoya Airfield",
"NKS","FKAN","Nkongsamba Airport",
"NKT","LTCV","????rnak Airport",
"NKU","FXNK","Nkaus Airport",
"NKX","KNKX","Marine Corps Air Station Miramar|MCAS Miramar",
"NKY","FCBY","Yokangassi Airport",
"NLA","FLND","Simon Mwansa Kapwepwe International Airport",
"NLC","KNLC","Naval Air Station Lemoore|NAS Lemoore",
"NLD","MMNL","Quetzalc??atl International Airport",
"NLF","YDNI","Darnley Island Airport",
"NLG","PAOU","Nelson Lagoon Airport",
"NLI","UHNN","Nikolayevsk-on-Amur Airport",
"NLK","YSNF","Norfolk Island Airport",
"NLL","YNUL","Nullagine Airport",
"NLO","FZAB","N'Dolo Airport",
"NLP","FANS","Nelspruit Airport",
"NLT","ZWNL","Xinyuan Nalati Airport",
"NLU","MMSM","Santa Luc??a Air Force Base Num 1",
"NLV","UKON","Mykolaiv Airport|Mykolaiv International Airport",
"NMA","UTFN","Namangan Airport",
"NMB","VADN","Daman Airport",
"NMC","MYEN","Norman's Cay Airport",
"NME","PAGT","Nightmute Airport",
"NMR","YNAP","Nappa Merrie Airport",
"NMS","VYNS","Nansang Airport",
"NMT","VYNT","Namtu Airport",
"NNA","GMMY","Kenitra Air Base",
"NNB","AGGT","Santa Ana Airport ,
NNG, ZGNN, ""Nanning Wuxu International Airport",
"NNI","FYNA","Namutoni Airport",
"NNL","PANO","Nondalton Airport",
"NNM","ULAM","Naryan-Mar Airport",
"NNR","EICA","Connemara Airport",
"NNT","VTCN","Nan Nakhon Airport",
"NNU","SNNU","Nanuque Airport",
"NNX","WRLF","Nunukan Airport",
"NNY","ZHNY","Nanyang Jiangying Airport",
"NOA","YSNW","HMAS Albatross |NAS Nowra",
"NOB","MRNS","Nosara Airport",
"NOC","EIKN","Ireland West Airport Knock",
"NOD","EDWS","Norddeich Airport",
"NOG","MMNG","Nogales International Airport |Nogales International Airport",
"NOJ","USRO","Noyabrsk Airport",
"NOK","SWXV","Nova Xavantina Airport",
"NOM","ATNR","Nomad River Airport",
"NON","NGTO","Nonouti Airport",
"NOP","LTCM","Sinop Airport",
"NOR","BINF","Nor??fj??r??ur Airport",
"NOS","FMNN","Fascene Airport",
"NOT","KDVO","Marin County Airport",
"NOU","NWWW","La Tontouta International Airport",
"NOV","FNHU","Albano Machado Airport",
"NOZ","UNWW","Spichenkovo Airport",
"NPA","KNPA","Naval Air Station Pensacola|NAS Pensacola",
"NPE","NZNR","Hawke's Bay Airport",
"NPO","WIOG","Nanga Pinoh Airport",
"NPR","SJNP","Novo Progresso Airport",
"NPT","KUUU","Newport State Airport , ""Newport, Rhode Island|Newport",
"NQA","KNQA","Millington Regional Jetport",
"NQI","KNQI","Naval Air Station Kingsville|NAS Kingsville",
"NQL","SWNQ","Niquel??ndia Airport",
"NQN","SAZN","Presidente Per??n International Airport",
"NQT","EGBN","Nottingham Airport",
"NQU","SKNQ","Reyes Murillo Airport",
"NQX","KNQX","Naval Air Station Key West|NAS Key West",
"NQY","EGDG","Newquay Airport",
"NRA","YNAR","Narrandera Airport",
"NRB","KNRB","Naval Station Mayport|NS Mayport",
"NRC","KNRC","NASA Crows Landing Airport",
"NRD","EDWY","Norderney Airport",
"NRE","WAPG","Namrole Airport",
"NRG","YNRG","Narrogin Airport",
"NRK","ESSP","Norrk??ping Airport",
"NRL","EGEN","North Ronaldsay Airport",
"NRM","GANK","Keibane Airport",
"NRN","EDLV","Weeze Airport",
"NRR","TJRV","Jos?? Aponte de la Torre Airport",
"NRS","KNRS","Naval Outlying Landing Field Imperial Beach|NOLF Imperial Beach",
"NRT","RJAA","Narita International Airport",
"NSE","KNSE","Naval Air Station Whiting Field ??"" North|NAS Whiting Field ??"" North",
"NSH","OINN","Noshahr Airport",
"NSI","FKYS","Yaound?? Nsimalen International Airport",
"NSK","UOOO","Alykel Airport",
"NSL","KDVP","Slayton Municipal Airport",
"NSM","YNSM","Norseman Airport",
"NSN","NZNS","Nelson Airport |Nelson Airport",
"NSO","YSCO","Scone Airport",
"NST","VTSF","Nakhon Si Thammarat Airport",
"NSV","YNSH","Noosa Airport",
"NSY","LICZ","Naval Air Station Sigonella",
"NTB","ENNO","Notodden Airport, Tuven",
"NTD","KNTD","Naval Air Station Point Mugu|NAS Point Mugu",
"NTE","LFRS","Nantes Atlantique Airport",
"NTG","ZSNT","Nantong Xingdong Airport",
"NTL","YWLM","Newcastle Airport |Newcastle Airport"" / ""RAAF Base Williamtown",
"NTM","SNRW","Miracema do Tocantins Airport",
"NTN","YNTN","Normanton Airport",
"NTO","GVAN","Agostinho Neto Airport",
"NTQ","RJNW","Noto Airport",
"NTR","MMAN","Del Norte International Airport",
"NTT","NFTP","Niuatoputapu Airport",
"NTU","KNTU","Naval Air Station Oceana|NAS Oceana",
"NTX","WION","Ranai Airport",
"NTY","FAPN","Pilanesberg International Airport",
"NUB","YNUM","Numbulwar Airport",
"NUD","HSNH","En Nahud Airport",
"NUE","EDDN","Nuremberg Airport",
"NUI","PAQT","Nuiqsut Airport",
"NUJ","OIHS","Hamedan Air Base",
"NUK","NTGW","Nukutavake Airport",
"NUL","PANU","Nulato Airport",
"NUN","KNUN","Saufley Field|NOLF Saufley Field",
"NUQ","KNUQ","Moffett Federal Airfield",
"NUR","YNUB","Nullabor Motel Airport",
"NUS","NVSP","Norsup Airport",
"NUU","HKNK","Nakuru Airport",
"NUW","KNUW","Naval Air Station Whidbey Island|NAS Whidbey Island",
"NUX","USMU","Novy Urengoy Airport",
"NVA","SKNV","Benito Salas Airport",
"NVD","KNVD","Nevada Municipal Airport",
"NVG","MNNG","Nueva Guinea Airport",
"NVI","UTSA","Navoi International Airport",
"NVK","ENNK","Narvik Airport, Framnes",
"NVR","ULNN","Novgorod Airport",
"NVS","LFQG","Nevers - Fourchambault Airport",
"NVT","SBNF","Navegantes Airport|Navegantes??""Ministro Victor Konder International Airport",
"NVY","VONV","Neyveli Airport",
"NWA","FMCI","Moh??li Bandar Es Eslam Airport",
"NWI","EGSH","Norwich International Airport",
"NYA","USHN","Nyagan Airport",
"NYC",,"metropolitan area{{ref|2|2}}",
"NYE","HKNI","Nyeri Airport",
"NYG","KNYG","Marine Corps Air Facility Quantico|MCAF Quantico",
"NYI","DGSN","Sunyani Airport",
"NYK","HKNY","Nanyuki Airport",
"NYM","USMM","Nadym Airport",
"NYN","YNYN","Nyngan Airport",
"NYO","ESKN","Stockholm Skavsta Airport",
"NYR","UENN","Nyurba Airport",
"NYT","VYNT","Naypyidaw Airport",
"NYU","VYBG","Nyaung U Airport",
"NYW","VYMY","Monywa Airport",
"NZA","FNZG","Nzagi Airport",
"NZC","SPZA","Maria Reiche Neuman Airport",
"NZE","GUNZ","Nz??r??kor?? Airport",
"NZH","ZBMZ","Manzhouli Xijiao Airport",
"NZY","KNZY","Naval Air Station North Island|NAS North Island",
"OAA","OASH","Forward Operating Base Shank",
"OAG","YORG","Orange Airport",
"OAH","OASD","Shindand Air Base",
"OAI","OAIX","Bagram Airfield",
"OAJ","KOAJ","Albert J. Ellis Airport",
"OAK","KOAK","Oakland International Airport",
"OAL","SSKW","Cacoal Airport|Capital do Caf?? Airport",
"OAM","NZOU","Oamaru Airport",
"OAN","MHEA","El Array?!n Airport",
"OAR","KOAR","Marina Municipal Airport",
"OAX","MMOX","Xoxocotl?!n International Airport",
"OAZ","OAZI","Camp Shorabak|Camp Bastion Air Base",
"OBC","HDOB","Obock Airport",
"OBE","KOBE","Okeechobee County Airport",
"OBF","EDMO","Oberpfaffenhofen Airport",
"OBI","SBTI","?""bidos Airport",
"OBL","EBZR","Oostmalle Airfield",
"OBN","EGEO","Oban Airport",
"OBO","RJCB","Tokachi??""Obihiro Airport",
"OBS","LFHO","Aubenas Aerodrome",
"OBU","PAOB","Kobuk Airport",
"OBX","AYOB","Obo Airport |Obo Airport",
"OCC","SECO","Francisco de Orellana Airport",
"OCE","KOXB","Ocean City Municipal Airport |Ocean City Municipal Airport",
"OCF","KOCF","Ocala International Airport",
"OCH","KOCH","A.L. Mangham Jr. Regional Airport",
"OCJ","MKBS","Ian Fleming International Airport",
"OCM","YBGD","Boolgeeda Airport",
"OCN","KOKB","Oceanside Municipal Airport",
"OCV","SKOC","Aguas Claras Airport",
"OCW","KOCW","Washington??""Warren Airport",
"ODA","FEFW","Ouadda Airport",
"ODB","LEBA","C??rdoba Airport",
"ODD","YOOD","Oodnadatta Airport",
"ODE","EKOD","Hans Christian Andersen Airport",
"ODH","EGVO","RAF Odiham",
"ODJ","FEGO","Ouanda Djall?? Airport",
"ODN","WBGI","Long Seridan Airport",
"ODO","UIKB","Bodaybo Airport",
"ODR","YORV","Ord River Airport",
"ODS","UKOO","Odessa International Airport",
"ODW","KOKH","A.J. Eisenberg Airport",
"ODY","VLOS","Oudomsay Airport",
"OEC","WPOC","Oecusse Airport",
"OEL","UUOR","Oryol Yuzhny Airport",
"OEM","SMPA","Vincent Fayks Airport",
"OEO","KOEO","L.O. Simenstad Municipal Airport",
"OER","ESNO","?-rnsk??ldsvik Airport",
"OES","SAVN","Antoine de Saint Exup??ry Airport",
"OFF","KOFF","Offutt Air Force Base",
"OFI","DIOF","Ouango Fitini Airport",
"OFJ","BIOF","?""lafsfj??r??ur Airport",
"OFK","KOFK","Norfolk Regional Airport",
"OFU","NSAS","Ofu Airport",
"OGA","KOGA","Searle Field",
"OGB","KOGB","Orangeburg Municipal Airport",
"OGD","KOGD","Ogden-Hinckley Airport",
"OGG","PHOG","Kahului Airport",
"OGL","SYGO","Ogle Airport",
"OGN","ROYN","Yonaguni Airport",
"OGO","DIAU","Abengourou Airport",
"OGR","FTTB","Bongor Airport",
"OGS","KOGS","Ogdensburg International Airport",
"OGU","LTCB","Ordu??""Giresun Airport",
"OGV","FYNG","Ongava Airstrip",
"OGX","DAUU","Ain Beida Airport",
"OGZ","URMO","Beslan Airport",
"OHA","NZOH","RNZAF Base Ohakea",
"OHD","LWOH","Ohrid ""St. Paul the Apostle"" Airport",
"OHE","ZYMH","Mohe Gulian Airport",
"OHH","UHSH","Okha Airport",
"OHI","FYOS","Oshakati Airport",
"OHO","UHOO","Okhotsk Airport",
"OHR","EDXY","Wyk auf F??hr Airport",
"OHS","OOSH","Sohar Airport",
"OHT","OPKT","PAF Base Kohat",
"OIA","SDOW","Ouril??ndia do Norte Airport",
"OIC","KOIC","Lt. Warren Eaton Airport",
"OIM","RJTO","Oshima Airport",
"OIR","RJEO","Okushiri Airport",
"OIT","RJFO","Oita Airport",
"OJC","KOJC","Johnson County Executive Airport",
"OKA","ROAH","Naha Airport",
"OKB","YORC","Orchid Beach Airport",
"OKC","KOKC","Will Rogers World Airport",
"OKD","RJCO","Okadama Airport",
"OKE","RJKB","Okinoerabu Airport",
"OKF","FYOO","Okaukuejo Airport",
"OKH","EGXJ","RAF Cottesmore",
"OKI","RJNO","Oki Airport",
"OKJ","RJOB","Okayama Airport",
"OKK","KOKK","Kokomo Municipal Airport",
"OKL","WAJO","Gunung Bintang Airport",
"OKM","KOKM","Okmulgee Regional Airport",
"OKN","FOGQ","Okondja Airport",
"OKO","RJTY","Yokota Air Base",
"OKP","AYOJ","Oksapmin Airport",
"OKQ","WAKO","Okaba Airport",
"OKR","YYKI","Yorke Island Airport",
"OKS","KOKS","Garden County Airport",
"OKT","UWUK","Oktyabrsky Airport",
"OKU","FYMO","Mokuti Lodge Airport",
"OKY","YBOK","Oakey Army Aviation Centre",
"OLA","ENOL","??rland Airport",
"OLB","LIEO","Olbia Costa Smeralda Airport",
"OLC","SDCG","S??o Paulo de Oliven??a Airport|Senadora Eunice Michiles Airport",
"OLD","KOLD","Old Town Municipal Airport and Seaplane Base",
"OLE","KOLE","Cattaraugus County-Olean Airport",
"OLF","KOLF","L. M. Clayton Airport",
"OLI","BIRF","Rif Airport",
"OLJ","NVSZ","Olpoi Airport",
"OLK","SGOL","Fuerte Olimpo Airport",
"OLM","KOLM","Olympia Regional Airport",
"OLN","SAVM","Lago Musters Airport",
"OLO","LKOL","Olomouc Airport",
"OLP","YOLD","Olympic Dam Airport",
"OLR","OASL","Forward Operating Base Salerno",
"OLS","KOLS","Nogales International Airport",
"OLU","KOLU","Columbus Municipal Airport |Columbus Municipal Airport",
"OLV","KOLV","Olive Branch Airport",
"OLY","KOLY","Olney-Noble Airport",
"OMA","KOMA","Eppley Airfield",
"OMB","FOOH","Ombou?? Hospital Airport",
"OMC","RPVO","Ormoc Airport",
"OMD","FYOG","Oranjemund Airport",
"OME","PAOM","Nome Airport",
"OMF","OJMF","King Hussein Air Base",
"OMG","FYOE","Omega Airport",
"OMH","OITR","Urmia Airport",
"OMI","OIAJ","Omidiyeh Air Base",
"OMJ","RJDU","??mura Airport",
"OMK","KOMK","Omak Airport",
"OMM","OOMX","Marmul Airport",
"OMO","LQMO","Mostar Airport",
"OMR","LROD","Oradea International Airport",
"OMS","UNOO","Omsk Tsentralny Airport",
"ONA","KONA","Winona Municipal Airport",
"ONB","AYQQ","Ononge Airport",
"OND","FYOA","Ondangwa Airport",
"ONG","YMTI","Mornington Island Airport",
"ONI","WABD","Moanamani Airport",
"ONJ","RJSR","Odate??""Noshiro Airport",
"ONK","UERO","Olenyok Airport",
"ONL","KONL","O'Neill Municipal Airport",
"ONM","KONM","Socorro Municipal Airport",
"ONO","KONO","Ontario Municipal Airport",
"ONP","KONP","Newport Municipal Airport |Newport Municipal Airport",
"ONQ","LTAS","Zonguldak Airport",
"ONR","YMNK","Monkira Airport",
"ONS","YOLW","Onslow Airport",
"ONT","KONT","Ontario International Airport",
"ONU","NFOL","Ono-i-Lau Airport",
"ONX","MPEJ","Enrique Adolfo Jim??nez Airport",
"ONY","KONY","Olney Municipal Airport",
"OOA","KOOA","Oskaloosa Municipal Airport",
"OOK","PAOO","Toksook Bay Airport",
"OOL","YBCG","Gold Coast Airport",
"OOM","YCOM","Cooma??""Snowy Mountains Airport",
"OOR","YMOO","Mooraberree Airport",
"OOT","NGON","Onotoa Airport",
"OPA","BIKP","K??pasker Airport",
"OPF","KOPF","Miami-Opa Locka Executive Airport",
"OPI","YOEN","Oenpelli Airport",
"OPL","KOPL","St. Landry Parish Airport",
"OPO","LPPR","Francisco de S?! Carneiro Airport",
"OPS","SWSI","Sinop Airport |Presidente Jo??o Figueiredo Airport",
"OPU","AYBM","Balimo Airport",
"OPW","FYOP","Opuwa Airport",
"ORA","SASO","Or?!n Airport",
"ORB","ESOE","?-rebro Airport",
"ORC","SKOE","Orocue Airport",
"ORD","KORD","O'Hare International Airport",
"ORE","LFOZ","Orl??ans ??"" Saint-Denis-de-l'H??tel Airport",
"ORF","KORF","Norfolk International Airport",
"ORG","SMZO","Zorg en Hoop Airport",
"ORH","KORH","Worcester Regional Airport",
"ORI","KORI","Port Lions Airport",
"ORJ","SYDR","Orinduik Airport",
"ORK","EICK","Cork Airport",
"ORL","KORL","Orlando Executive Airport",
"ORM","EGBK","Sywell Aerodrome",
"ORN","DAOO","Oran Es S??nia Airport",
"ORO","MHYR","Yoro Airport",
"ORP","FBOR","Orapa Airport",
"ORR","YYOR","Yorketown Airport",
"ORT","PAOR","Northway Airport",
"ORU","SLOR","Juan Mendoza Airport",
"ORV","PFNO","Robert , ""Noorvik, Alaska|Noorvik",
"ORW","OPOR","Ormara Airport",
"ORX","SNOX","Oriximin?! Airport",
"ORY","LFPO","Orly Airport",
"OSA",,"metropolitan area{{ref|1|1}}",
"OSC","KOSC","Oscoda??""Wurtsmith Airport",
"OSD","ESNZ","??re ?-stersund Airport",
"OSF","UUMO","Ostafyevo International Airport",
"OSH","KOSH","Wittman Regional Airport",
"OSI","LDOS","Osijek Airport",
"OSK","ESMO","Oskarshamn Airport",
"OSL","ENGM","Oslo Airport, Gardermoen",
"OSM","ORBM","Mosul International Airport",
"OSN","RKSO","Osan Air Base",
"OSO","YOSB","Osborne Mine Airport",
"OSR","LKMT","Leo?! Jan?!?ek Airport Ostrava",
"OSS","UAFO","Osh Airport",
"OST","EBOS","Ostend??""Bruges International Airport",
"OSU","KOSU","Ohio State University Airport",
"OSW","UWOR","Orsk Airport",
"OSX","KOSX","Kosciusko-Attala County Airport",
"OSY","ENNM","Namsos Airport, H??knes??ra",
"OSZ","EPKZ","Koszalin-Zegrze Pomorskie Airport",
"OTC","FTTL","Bol-B??rim Airport",
"OTG","KOTG","Worthington Municipal Airport",
"OTH","KOTH","Southwest Oregon Regional Airport",
"OTI","WAMR","Pitu Airport",
"OTJ","FYOW","Otjiwarongo Airport",
"OTK","KTMK","Tillamook Airport",
"OTL","GQNB","Boutilimit Airport",
"OTM","KOTM","Ottumwa Regional Airport",
"OTP","LROP","Henri Coand?? International Airport",
"OTR","MRCC","Coto 47 Airport",
"OTT",,"Cotrigua??u",
"OTU","SKOT","Ot?? Airport",
"OTV","AGGQ","Ontong Java Airport",
"OTZ","PAOT","Ralph Wien Memorial Airport",
"OUA","DFFD","Ouagadougou Airport",
"OUD","GMFO","Angads Airport",
"OUE","FCOU","Ou??sso Airport",
"OUG","DFCC","Ouahigouya Airport",
"OUH","FAOH","Oudtshoorn Airport",
"OUL","EFOU","Oulu Airport",
"OUN","KOUN","University of Oklahoma Westheimer Airport",
"OUR","FKKI","Batouri Airport",
"OUS","SDOU","Ourinhos Airport|Jornalista Benedito Pimentel??""Ourinhos State Airport",
"OUT","FTTS","Bousso Airport",
"OUZ","GQPZ","Tazadit Airport",
"OVA","FMSL","Bekily Airport",
"OVB","UNNT","Tolmachevo Airport",
"OVD","LEAS","Asturias Airport",
"OVE","KOVE","Oroville Municipal Airport",
"OVG","FAOB","Air Force Base Overberg",
"OVL","SCOV","El Tuqui Airport",
"OVR","SAZF","Olavarr??a Airport",
"OVS","USHS","Sovetsky Airport",
"OWA","KOWA","Owatonna Degner Regional Airport",
"OWB","KOWB","Owensboro??""Daviess County Regional Airport|Owensboro??""Daviess County Airport",
"OWD","KOWD","Norwood Memorial Airport",
"OWK","KOWK","Central Maine Airport of Norridgewock",
"OXB","GGOV","Osvaldo Vieira International Airport",
"OXC","KOXC","Waterbury??""Oxford Airport",
"OXD","KOXD","Miami University Airport",
"OXF","EGTK","Oxford Airport",
"OXR","KOXR","Oxnard Airport",
"OXY","YMNY","Morney Airport",
"OYA","SATG","Goya Airport",
"OYE","FOGO","Oyem Airport",
"OYK","SBOI","Oiapoque Airport",
"OYL","HKMY","Moyale Airport",
"OYN","YOUY","Ouyen Airport",
"OYO","SAZH","Tres Arroyos Airport",
"OYP","SOOG","Saint-Georges-de-l'Oyapock Airport",
"OZA","KOZA","Ozona Municipal Airport",
"OZC","RPMO","Labo Airport",
"OZG","GMAZ","Zagora Airport",
"OZH","UKDE","Zaporizhia International Airport",
"OZP","LEMO","Mor??n Air Base |Mor??n Air Base",
"OZR","KOZR","Cairns Army Airfield",
"OZZ","GMMZ","Ouarzazate Airport",
"PAA","VYPA","Hpa-An Airport",
"PAB","VEBU","Bilaspur Airport",
"PAC","MPMG","Albrook ""Marcos A. Gelabert"" International Airport",
"PAD","EDLP","Paderborn Lippstadt Airport",
"PAE","KPAE","Paine Field",
"PAF","HUPA","Pakuba Airfield",
"PAG","RPMP","Pagadian Airport",
"PAH","KPAH","Barkley Regional Airport",
"PAJ","OPPC","Parachinar Airport",
"PAK","PHPA","Port Allen Airport",
"PAL","SKPQ","Captain Germ?!n Olano Moreno Air Base",
"PAM","KPAM","Tyndall Air Force Base",
"PAN","VTSK","Pattani Airport",
"PAO","KPAO","Palo Alto Airport",
"PAP","MTPP","Toussaint Louverture International Airport|Toussaint L'Ouverture International Airport",
"PAQ","PAAQ","Palmer Municipal Airport",
"PAS","LGPA","Paros National Airport",
"PAT","VEPT","Lok Nayak Jayaprakash Airport",
"PAU","VYPK","Pauk Airport",
"PAV","SBUF","Paulo Afonso Airport",
"PAX","MTPX","Port-de-Paix Airport",
"PAY","WBKP","Pamol Airport",
"PAZ","MMPA","El Taj??n National Airport",
"PBB","SSPN","Parana??ba Airport",
"PBC","MMPB","Puebla International Airport|Hermanos Serd?!n International Airport",
"PBD","VAPR","Porbandar Airport",
"PBE","SKPR","Morela Airport",
"PBF","KPBF","Grider Field",
"PBG","KPBG","Plattsburgh International Airport",
"PBH","VQPR","Paro Airport",
"PBI","KPBI","Palm Beach International Airport",
"PBJ","NVSI","Paama Airport",
"PBL","SVPC","Bartolom?? Salom Airport",
"PBM","SMJP","Johan Adolf Pengel International Airport",
"PBN","FNPA","Porto Amboim Airport",
"PBO","YPBO","Paraburdoo Airport",
"PBP","MRIA","Punta Islita Airport",
"PBQ","SWPM","Pimenta Bueno Airport",
"PBR","MGPB","Puerto Barrios Airport",
